anime_id;Name;Score;Genres;Type;Premiered;Status;Studios
31587;Kojin Toshi;4.9;Avant Garde;Movie;;Finished Airing;UNKNOWN
31588;All Out!!;7.05;Sports;TV;2016.2;Finished Airing;Madhouse, TMS Entertainment
31592;Pokemon XY&Z;7.72;Action, Adventure, Comedy, Fantasy;TV;2015.2;Finished Airing;OLM
31593;Rokka no Yuusha Picture Drama;6.41;Action, Adventure, Fantasy, Mystery;Special;;Finished Airing;Passione
31598;Luger Code 1951;6.42;Action, Fantasy;ONA;;Finished Airing;Studio Deen
31599;Kaette Kite yoo Toyama kara;UNKNOWN;Comedy, Mystery, Slice of Life;ONA;;Finished Airing;DLE
31603;Kana Kana Kazoku: Rika in Wonderland;5.12;Comedy;ONA;;Finished Airing;UNKNOWN
31604;Kana Kana Kazoku Shorts: Naru Haya Kakusan Kibou;UNKNOWN;Comedy;ONA;;Finished Airing;UNKNOWN
31608;Teekyuu 4 Specials;6.31;Comedy, Sports;Special;;Finished Airing;Millepensee
31610;Kyoukai no Rinne 2nd Season;7.15;Comedy, Supernatural;TV;2016.4;Finished Airing;Brain's Base
31618;Kanojo ga Kanji wo Suki na Riyuu.;5.39;Slice of Life;ONA;;Finished Airing;Studio 4°C
31621;Ooya-san wa Shishunki!;6.53;Comedy, Slice of Life;TV;2016.3;Finished Airing;Seven Arcs Pictures
31624;Tomato ni Natta Otokonoko;4.92;UNKNOWN;ONA;;Finished Airing;UNKNOWN
31629;Granblue Fantasy The Animation;6.63;Adventure, Fantasy;TV;2017.4;Finished Airing;A-1 Pictures
31630;"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!";6.5;Comedy, Drama, Mystery;TV;2016.4;Finished Airing;A-1 Pictures
31631;Monster Hunter Stories: Ride On;6.24;Fantasy;TV;2016.2;Finished Airing;David Production
31633;Sushi Police;4.63;Comedy, Gourmet, Mystery;TV;2016.3;Finished Airing;KOO-KI
31634;Kokuhaku;2.3;Horror;ONA;;Finished Airing;UNKNOWN
31636;Dagashi Kashi;6.61;Comedy, Gourmet;TV;2016.3;Finished Airing;feel.
31637;Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2;7.72;Action, Adventure, Fantasy;TV;2016.3;Finished Airing;A-1 Pictures
31638;Mr. Shape;UNKNOWN;Comedy;Special;;Finished Airing;UNKNOWN
31639;Mr. Shape: High Touch Taisou;5.17;UNKNOWN;ONA;;Finished Airing;UNKNOWN
31640;Fuusen Inu Tinny 2nd Season;UNKNOWN;Adventure;TV;2015.2;Finished Airing;Steve N' Steven
31641;Niedola;5.31;UNKNOWN;Music;;Finished Airing;UNKNOWN
31642;Pittanko! Taiyou-sensei to Pittanko;UNKNOWN;Comedy;Special;;Finished Airing;UNKNOWN
31643;Mr. Deniroo in Henteko Mushi;UNKNOWN;Comedy, Slice of Life;Special;;Finished Airing;UNKNOWN
31644;Deniroo's Circus;4.69;Comedy;Special;;Finished Airing;UNKNOWN
31645;Persona 5 the Animation: The Day Breakers;7.06;Action, Fantasy, Supernatural;Special;;Finished Airing;A-1 Pictures
31646;3-gatsu no Lion;8.38;Drama, Slice of Life;TV;2016.2;Finished Airing;Shaft
31647;Ponkotsuland Saga;4.49;Comedy;ONA;;Finished Airing;Pie in the sky
31652;Taimanin Asagi 2;6.31;Supernatural, Hentai;OVA;;Finished Airing;T-Rex
31658;Kuroko no Basket Movie 4: Last Game;8.08;Sports;Movie;;Finished Airing;Production I.G
31662;Bary-san x Gospe Rats: Tonde Bary Bary Monogatari;UNKNOWN;UNKNOWN;Music;;Finished Airing;Kachidoki Studio
31665;Hibike! Euphonium: Kakedasu Monaka;7.47;Drama;Special;;Finished Airing;Kyoto Animation
31667;Ponkotsu Quest: Maou to Haken no Mamono-tachi;UNKNOWN;Comedy, Fantasy;ONA;;Currently Airing;UNKNOWN
31668;Teekyuu 5 Specials;6.13;Comedy, Sports;Special;;Finished Airing;Millepensee
31669;Takamiya Nasuno desu! Teekyuu Spin-off Special;5.81;Comedy;Special;;Finished Airing;Millepensee
31670;Kaitou Joker 3rd Season;7.16;Adventure, Comedy, Mystery;TV;2016.4;Finished Airing;Shin-Ei Animation
31672;Ojarumaru: Wasureta Mori no Hinata;UNKNOWN;Adventure, Comedy, Fantasy, Slice of Life;Special;;Finished Airing;Gallop
31673;Larva 2nd Season;6.14;Comedy;TV;2013.3;Finished Airing;UNKNOWN
31674;Larva 3rd Season;6.08;Comedy;TV;2014.1;Finished Airing;UNKNOWN
31675;Haikyuu!! Quest Picture Drama;6.67;Comedy, Fantasy;OVA;;Finished Airing;Production I.G
31676;Persona 2: Another Self;6.25;Action, Fantasy, Supernatural;Special;;Finished Airing;Satelight
31678;Long Zhi Gu: Jingling Wangzuo;7.23;Action, Adventure, Fantasy;Movie;;Finished Airing;Mili Pictures
31680;Super Lovers;6.83;Boys Love, Comedy, Drama;TV;2016.4;Finished Airing;Studio Deen
31683;Danchigai: Juusan Goutou Sentou Ikitai!!;6.42;Comedy, Slice of Life;Special;;Finished Airing;Creators in Pack
31685;Okaasan ni Naisho;4.0;Comedy, Ecchi;ONA;;Finished Airing;UNKNOWN
31686;Shigeru;3.1;Avant Garde, Comedy;ONA;;Finished Airing;UNKNOWN
31687;◯;3.75;Avant Garde;ONA;;Finished Airing;UNKNOWN
31688;Tama Gura Abayo: Moki Yumokyu Superdeluxe;4.08;Avant Garde;Music;;Finished Airing;UNKNOWN
31689;Requiem (ONA);3.75;Avant Garde;ONA;;Finished Airing;UNKNOWN
31690;Chuugakusei;UNKNOWN;Comedy;OVA;;Finished Airing;UNKNOWN
31691;San Mao Liu Lang Ji (2006);UNKNOWN;Comedy;TV;;Finished Airing;UNKNOWN
31692;Gogulyeoui Jeolm-eun Musadeul;UNKNOWN;UNKNOWN;TV;;Finished Airing;UNKNOWN
31693;Ashita Tenki ni Naare Omake;UNKNOWN;Sports;OVA;;Finished Airing;UNKNOWN
31694;Gakken no Zunou Kaihatsu Video;UNKNOWN;UNKNOWN;OVA;;Finished Airing;UNKNOWN
31695;Goro-chan;5.01;UNKNOWN;Music;;Finished Airing;UNKNOWN
31696;Witch Village Story;UNKNOWN;Slice of Life;TV;2005.3;Finished Airing;UNKNOWN
31697;Witch Village Story Specials;UNKNOWN;Slice of Life;Special;;Finished Airing;UNKNOWN
31698;Zhan Long Si Qu;5.35;UNKNOWN;TV;;Finished Airing;UNKNOWN
31699;Good Morning!!! Doronjo;5.59;Comedy;TV;2015.4;Finished Airing;Oddjob
31700;Xiao Taiji;UNKNOWN;Action;TV;;Finished Airing;UNKNOWN
31701;Wu Lan Qi Qi Ge;UNKNOWN;UNKNOWN;TV;;Finished Airing;UNKNOWN
31704;One Punch Man: Road to Hero;7.7;Action, Comedy;OVA;;Finished Airing;Madhouse
31706;Fate/kaleid liner Prisma☆Illya 3rei!!;7.5;Action, Comedy, Fantasy;TV;2016.1;Finished Airing;SILVER LINK.
31710;Divine Gate;5.54;Action, Fantasy, Sci-Fi;TV;2016.3;Finished Airing;Pierrot
31711;To LOVE-Ru Darkness 2nd Specials;7.56;Comedy, Romance, Sci-Fi, Ecchi;Special;;Finished Airing;Xebec
31715;Working!!! Lord of the Takanashi;8.15;Comedy, Romance;Special;;Finished Airing;A-1 Pictures
31716;Rewrite;6.65;Action, Comedy, Romance, Supernatural;TV;2016.1;Finished Airing;8bit
31722;Nanatsu no Taizai: Seisen no Shirushi;6.98;Action, Adventure, Fantasy;TV;2016.1;Finished Airing;A-1 Pictures
31730;Audition;UNKNOWN;UNKNOWN;Movie;;Finished Airing;UNKNOWN
31733;Bishoujo Senshi Sailor Moon Crystal Season III;7.75;Fantasy, Romance;TV;2016.4;Finished Airing;Toei Animation
31736;Valkyrie Drive: Mermaid Specials;6.14;Action, Fantasy, Girls Love, Ecchi;Special;;Finished Airing;Arms
31737;Gakusen Toshi Asterisk 2nd Season;7.0;Action, Comedy, Fantasy, Romance, Sci-Fi, Ecchi;TV;2016.4;Finished Airing;A-1 Pictures
31738;Nanairo Kakumei;5.74;Comedy;Special;;Finished Airing;UNKNOWN
31740;Chicchana Onaka;6.24;Hentai;OVA;;Finished Airing;Studio 9 Maiami
